dct:title,http://purl.org/m4m,Main GUPRI (i.e. PID) under which all terms are defined. Preference is to use PURLs or W3IDs as they provide permanent resolvable identifiers.,,,,,,,,,,,,,,,,,,,,,2023-11-26,2023-12-20,,
"Prefixes for controlled vocabularies, schema and ontologies",,,,,,,,,,,,,,,,,,,,,,,,,,
PREFIX,vocab,http://purl.org/m4m/,,Prefix for our controlled vocabulary since it is rather tedious to write long URLs all the time,,,,,,,,,,,,,,,,,,,,,,
PREFIX,skos,http://www.w3.org/2004/02/skos/core#,,Prefix for SKOS Onotlogy is which our base for defining SKOS based controlled vocabulary,,,,,,,,,,,,,,,,,,,,,,
PREFIX,owl,http://www.w3.org/2002/07/owl#,,"Prefix for the ontology language of the Semantic Web, which empowers fast and flexible data modeling and efficient automated reasoning",,,,,,,,,,,,,,,,,,,,,,
PREFIX,vaof,http://purl.org/vocommons/voaf#,,"Prefix for Provenance, Authoring and Versioning Onotlogy which properties such as version and createdOn we will use to describe our controlled vocabulary",,,,,,,,,,,,,,,,,,,,,,
PREFIX,dct,http://purl.org/dc/terms/ ,,"Prefix for Dublin Core (Terms) Ontology which properties such as title, description, rights, source, etc. we will use to describe our controlled vocabulary as well to define its terms",,,,,,,,,,,,,,,,,,,,,,
PREFIX,omv,http://omv.ontoware.org/2005/05/ontology,,Prefix for Metadata Ontology Vocabulary which is a standard for ontology metadata ,,,,,,,,,,,,,,,,,,,,,,
PREFIX,doap,usefulinc.com/ns/doap#,,"Prefix for the Description of a Project Ontology which describes software projects, in particular free and open source software",,,,,,,,,,,,,,,,,,,,,,
PREFIX,iop,https://w3id.org/iadopt/ont/,,Prefix for the I-ADOPT Ontology which describes observable properties,,,,,,,,,,,,,,,,,,,,,,
PREFIX,puv,https://w3id.org/env/puv#,,"Prefix for a simple ontology which implements the Parameter Usage 
Vocabulary semantic model, as described at 
https://github.com/nvs-vocabs/P01.",,,,,,,,,,,,,,,,,,,,,,
PREFIX,sosa,http://www.w3.org/ns/sosa/,,Prefix for the Semantic Sensor Network Ontology,,,,,,,,,,,,,,,,,,,,,,
PREFIX,xsd,http://www.w3.org/2001/XMLSchema#,,Prefix for the Ontology for eXtenisble Markup Language schemas ,,,,,,,,,,,,,,,,,,,,,,
PREFIX,rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,,Prefix for the Research Description Framework that provides the data model explaining how to build a graph,,,,,,,,,,,,,,,,,,,,,,
PREFIX,rdfs,http://www.w3.org/2000/01/rdf-schema#,,Prefix for the Research Description Framework Schema that explains how nodes in a graph relate,,,,,,,,,,,,,,,,,,,,,,
